"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"225","1",1698,"1",194,1567.39,0
"226","1",1868,"3",664,1956.93,0.6
"227","1",1572,"2",255,670,0.8
"228","1",1577,"1",638,2569,0.8
"229","1",2053,"3",560,2675.92,0
"230","0",1594,"1",26,1764.55,0.8
"231","1",1583,"1",597,2095,1
"232","1",1743,"1",436,712.07,0.4
"233","0",1609,"1",155,8428,2
"234","1",1616,"1",516,1556.55,0.6
"235","1",1808,"1",563,2752.22,0.6
"236","1",1768,"2",192,1974.6,0.4
"237","0",1628,"3",132,892.62,0.8
"238","0",1633,"3",170,3049.22,1.2
"239","1",2144,"1",564,3652.89,1.2
"240","1",1822,"1",283,1174.82,1.8
"241","1",1641,"3",222,1009.48,0
"242","1",1668,"1",405,1690.7,1
"243","1",2025,"1",426,1145.9,0
"244","1",1980,"2",374,1729.44,0.6
"245","1",2111,"2",455,819.75,0
"246","1",1701,"1",198,1174.07,0
"247","1",1794,"3",167,14609.9,2.8
"248","1",1732,"1",487,881,0.4
"249","1",1708,"1",485,1745.22,0.6
"250","1",1979,"2",485,1542.5,0
"251","0",1770,"3",539,5723.75,1.4
"252","1",1822,"1",235,1130.61,0.4
"253","1",1750,"1",289,2669.26,5.4
"254","1",1729,"3",380,1364.07,1.8
"255","1",1743,"3",258,3991.28,1.4
"256","1",1877,"1",397,2836.84,0.8
"257","1",2064,"3",471,2805,7.4
"258","1",1751,"1",451,3321.95,3.2
"259","1",1753,"2",32,1659.4,2
"260","1",1792,"1",39,3027.62,0.4
"261","1",2086,"3",361,1726.43,0.2
"262","1",2006,"2",159,1363,0
"263","1",1761,"1",231,4274.19,3.4
"264","1",1769,"1",393,1872.02,0
"265","1",1878,"2",266,1481,0.2
"266","1",1865,"2",790,1350.64,0
"267","1",1782,"1",215,1458.25,0.2
"268","0",1192,"1",726,2266.01,0.4
"269","0",1141,"1",649,1631.78,0.2
"270","1",1793,"1",111,1812.85,0
"271","1",1833,"3",144,2337.14,0.4
"272","0",1673,"3",545,2068.5,4
"273","1",1831,"1",242,2385.89,0.2
"274","1",1623,"1",208,730,0
"275","1",1735,"1",536,1966.89,1
"276","0",1191,"3",692,1537,0.2
"277","1",1914,"2",261,3263.11,0.2
"278","1",1962,"3",378,2306.52,0
"279","1",1854,"3",252,1230.96,0
"280","1",2101,"3",110,3902.99,2.6
"281","1",1886,"1",121,1136.72,1
"282","1",1478,"1",439,981.11,0.4
"283","1",2023,"3",928,1561.76,2.8
"284","1",1943,"1",232,2369.89,0.6
"285","1",2141,"1",202,1860.12,0.2
"286","1",1960,"1",174,1820.25,2.2
"287","0",1504,"2",606,1764.17,0.2
"288","1",2207,"3",239,3688.14,1.2
"289","1",2118,"1",137,2138.04,2.6
"290","0",1437,"3",787,1861.97,0.4
"291","1",1968,"3",117,1904.6,0
"292","1",2075,"2",153,1061,0.2
"293","1",2159,"2",197,5317.62,0.2
"294","1",1312,"1",839,1296.87,0.6
"295","0",1358,"1",896,1059,0
"296","1",2034,"3",175,2031,0.4
"297","1",2037,"1",107,5674.51,6.2
"298","1",1846,"1",806,2709.77,0.4
"299","1",1410,"1",772,1307.94,0.4
"300","1",2050,"3",70,2693.23,0.8
"301","1",1653,"1",1087,1314.01,0.2
"302","0",1247,"1",1065,893.5,0.4
"303","1",2064,"1",127,8824.48,0.4
"304","1",1391,"2",773,3707.73,1.4
"305","1",2063,"2",99,891.47,0.2
"306","1",2069,"3",152,3277.46,0.6
"307","1",2058,"3",175,2937.87,0.2
"308","1",2184,"1",108,5270.56,4.4
"309","1",1680,"1",524,1233.84,0.4
"310","1",2095,"1",125,9662.63,0.4
"311","1",2146,"1",931,1159.33,0
